,state,job_opportunity_rank,affordability,economy,education and health,quality of life,safety,Climate,title,totalyearlycompensation,yearsofexperience,Education
41,Arizona,1,2,1,4,1,4,1,Hardware Engineer,385000,29,-1
42,Arizona,1,2,1,4,1,4,1,Software Engineer,154000,19,-1
43,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,360000,14,-1
44,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,14,-1
45,Arizona,1,2,1,4,1,4,1,Solution Architect,150000,14,-1
46,Arizona,1,2,1,4,1,4,1,Software Engineer,165000,10,-1
47,Arizona,1,2,1,4,1,4,1,Software Engineer,340000,15,-1
48,Arizona,1,2,1,4,1,4,1,Software Engineer,217000,14,-1
49,Arizona,1,2,1,4,1,4,1,Software Engineer,530000,18,-1
50,Arizona,1,2,1,4,1,4,1,Software Engineer,63000,1,-1
51,Arizona,1,2,1,4,1,4,1,Data Scientist,193000,6,-1
52,Arizona,1,2,1,4,1,4,1,Software Engineer,88000,3,-1
53,Arizona,1,2,1,4,1,4,1,Software Engineer,196000,5,-1
54,Arizona,1,2,1,4,1,4,1,Software Engineer,93000,3,-1
55,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,3,-1
56,Arizona,1,2,1,4,1,4,1,Hardware Engineer,130000,6,-1
57,Arizona,1,2,1,4,1,4,1,Software Engineer,124000,8,-1
58,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,4,-1
59,Arizona,1,2,1,4,1,4,1,Software Engineer,155000,41,-1
60,Arizona,1,2,1,4,1,4,1,Software Engineer,107000,0,-1
61,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,8,-1
62,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,0,-1
63,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,0,-1
64,Arizona,1,2,1,4,1,4,1,Software Engineer,163000,12,-1
65,Arizona,1,2,1,4,1,4,1,Data Scientist,98000,6,-1
66,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,5,-1
67,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,4,1
68,Arizona,1,2,1,4,1,4,1,Software Engineer,80000,1,-1
69,Arizona,1,2,1,4,1,4,1,Software Engineer,151000,5,-1
70,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,1,-1
71,Arizona,1,2,1,4,1,4,1,Software Engineer,136000,8,-1
72,Arizona,1,2,1,4,1,4,1,Software Engineer,152000,0,1
73,Arizona,1,2,1,4,1,4,1,Software Engineer,85000,1,-1
74,Arizona,1,2,1,4,1,4,1,Software Engineer,132000,7,1
75,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,2,1
76,Arizona,1,2,1,4,1,4,1,Software Engineer,158000,10,-1
77,Arizona,1,2,1,4,1,4,1,Hardware Engineer,153000,5,1
78,Arizona,1,2,1,4,1,4,1,Software Engineer,110000,0,1
79,Arizona,1,2,1,4,1,4,1,Software Engineer,136000,5,1
80,Arizona,1,2,1,4,1,4,1,Software Engineer,238000,8,-1
81,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,2,1
82,Arizona,1,2,1,4,1,4,1,Software Engineer,99000,6,-1
83,Arizona,1,2,1,4,1,4,1,Software Engineer,103000,12,-1
84,Arizona,1,2,1,4,1,4,1,Software Engineer,74000,1,-1
85,Arizona,1,2,1,4,1,4,1,Software Engineer,164000,9,1
86,Arizona,1,2,1,4,1,4,1,Software Engineer,95000,7,-1
87,Arizona,1,2,1,4,1,4,1,Hardware Engineer,200000,12,1
88,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,387000,23,1
89,Arizona,1,2,1,4,1,4,1,Software Engineer,141000,10,-1
90,Arizona,1,2,1,4,1,4,1,Software Engineer,100000,12,-1
91,Arizona,1,2,1,4,1,4,1,Product Designer,190000,20,-1
92,Arizona,1,2,1,4,1,4,1,Software Engineer,205000,15,-1
93,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,6,1
94,Arizona,1,2,1,4,1,4,1,Software Engineer,192000,5,-1
95,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,2,-1
96,Arizona,1,2,1,4,1,4,1,Software Engineer,200000,9,-1
97,Arizona,1,2,1,4,1,4,1,Software Engineer,118000,6,-1
98,Arizona,1,2,1,4,1,4,1,Software Engineer,116000,6,-1
99,Arizona,1,2,1,4,1,4,1,Data Scientist,120000,3,-1
100,Arizona,1,2,1,4,1,4,1,Software Engineer,101000,10,-1
101,Arizona,1,2,1,4,1,4,1,Software Engineer,76000,2,-1
102,Arizona,1,2,1,4,1,4,1,Software Engineer,197000,8,1
103,Arizona,1,2,1,4,1,4,1,Software Engineer,135000,3,1
104,Arizona,1,2,1,4,1,4,1,Software Engineer,168000,2,-1
105,Arizona,1,2,1,4,1,4,1,Software Engineer,184000,9,1
106,Arizona,1,2,1,4,1,4,1,Software Engineer,159000,5,-1
107,Arizona,1,2,1,4,1,4,1,Software Engineer,186000,5,-1
108,Arizona,1,2,1,4,1,4,1,Data Scientist,143000,4,1
109,Arizona,1,2,1,4,1,4,1,Software Engineer,65000,0,-1
110,Arizona,1,2,1,4,1,4,1,Software Engineer,124000,1,-1
111,Arizona,1,2,1,4,1,4,1,Software Engineer,75000,0,-1
112,Arizona,1,2,1,4,1,4,1,Software Engineer,153000,7,1
113,Arizona,1,2,1,4,1,4,1,Technical Program Manager,176000,20,1
114,Arizona,1,2,1,4,1,4,1,Software Engineer,225000,10,-1
115,Arizona,1,2,1,4,1,4,1,Software Engineer,153000,3,1
116,Arizona,1,2,1,4,1,4,1,Software Engineer,255000,9,-1
117,Arizona,1,2,1,4,1,4,1,Software Engineer,230000,6,-1
118,Arizona,1,2,1,4,1,4,1,Hardware Engineer,138000,1,0
119,Arizona,1,2,1,4,1,4,1,Software Engineer,143000,12,-1
120,Arizona,1,2,1,4,1,4,1,Software Engineer,101000,10,-1
121,Arizona,1,2,1,4,1,4,1,Hardware Engineer,152000,2,0
122,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,280000,15,1
123,Arizona,1,2,1,4,1,4,1,Software Engineer,174000,9,1
124,Arizona,1,2,1,4,1,4,1,Software Engineer,184000,8,-1
125,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,5,-1
126,Arizona,1,2,1,4,1,4,1,Hardware Engineer,150000,3,0
127,Arizona,1,2,1,4,1,4,1,Hardware Engineer,100000,6,1
128,Arizona,1,2,1,4,1,4,1,Software Engineer,137000,1,1
129,Arizona,1,2,1,4,1,4,1,Software Engineer,135000,15,-1
130,Arizona,1,2,1,4,1,4,1,Software Engineer,151000,4,-1
131,Arizona,1,2,1,4,1,4,1,Software Engineer,65000,0,-1
132,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,1,-1
133,Arizona,1,2,1,4,1,4,1,Data Scientist,150000,2,1
134,Arizona,1,2,1,4,1,4,1,Software Engineer,86000,3,-1
135,Arizona,1,2,1,4,1,4,1,Software Engineer,113000,4,-1
136,Arizona,1,2,1,4,1,4,1,Software Engineer,142000,0,1
137,Arizona,1,2,1,4,1,4,1,Hardware Engineer,141000,3,0
138,Arizona,1,2,1,4,1,4,1,Software Engineer,230000,8,4
139,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
140,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,2,2
141,Arizona,1,2,1,4,1,4,1,Marketing,190000,10,2
142,Arizona,1,2,1,4,1,4,1,Software Engineer,81000,0,2
143,Arizona,1,2,1,4,1,4,1,Hardware Engineer,250000,16,-1
144,Arizona,1,2,1,4,1,4,1,Product Manager,195000,9,2
145,Arizona,1,2,1,4,1,4,1,Marketing,45000,2,2
146,Arizona,1,2,1,4,1,4,1,Software Engineer,176000,0,2
147,Arizona,1,2,1,4,1,4,1,Data Scientist,150000,5,1
148,Arizona,1,2,1,4,1,4,1,Software Engineer,130000,12,-1
149,Arizona,1,2,1,4,1,4,1,Hardware Engineer,154000,4,-1
150,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,2,-1
151,Arizona,1,2,1,4,1,4,1,Data Scientist,77000,3,-1
152,Arizona,1,2,1,4,1,4,1,Software Engineer,83000,0,1
153,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,2,2
154,Arizona,1,2,1,4,1,4,1,Software Engineer,226000,15,-1
155,Arizona,1,2,1,4,1,4,1,Product Manager,255000,20,1
156,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,10,-1
157,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,3,1
158,Arizona,1,2,1,4,1,4,1,Hardware Engineer,87000,1,-1
159,Arizona,1,2,1,4,1,4,1,Software Engineer,143000,10,2
160,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,3,2
161,Arizona,1,2,1,4,1,4,1,Software Engineer,157000,0,-1
162,Arizona,1,2,1,4,1,4,1,Software Engineer,157000,2,1
163,Arizona,1,2,1,4,1,4,1,Software Engineer,163000,9,-1
164,Arizona,1,2,1,4,1,4,1,Data Scientist,78000,2,-1
165,Arizona,1,2,1,4,1,4,1,Software Engineer,157000,0,2
166,Arizona,1,2,1,4,1,4,1,Software Engineer,100000,3,2
167,Arizona,1,2,1,4,1,4,1,Software Engineer,242000,5,-1
168,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,98000,15,2
169,Arizona,1,2,1,4,1,4,1,Software Engineer,139000,10,1
170,Arizona,1,2,1,4,1,4,1,Software Engineer,106000,9,2
171,Arizona,1,2,1,4,1,4,1,Software Engineer,102000,6,2
172,Arizona,1,2,1,4,1,4,1,Hardware Engineer,161000,8,-1
173,Arizona,1,2,1,4,1,4,1,Solution Architect,275000,20,2
174,Arizona,1,2,1,4,1,4,1,Software Engineer,227000,6,2
175,Arizona,1,2,1,4,1,4,1,Management Consultant,75000,1,2
176,Arizona,1,2,1,4,1,4,1,Hardware Engineer,179000,6,-1
177,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,310000,25,-1
178,Arizona,1,2,1,4,1,4,1,Product Manager,240000,15,1
179,Arizona,1,2,1,4,1,4,1,Software Engineer,97000,5,2
180,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,1,2
181,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,7,2
182,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
183,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,5,1
184,Arizona,1,2,1,4,1,4,1,Recruiter,98000,12,-1
185,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,9,-1
186,Arizona,1,2,1,4,1,4,1,Software Engineer,144000,5,1
187,Arizona,1,2,1,4,1,4,1,Software Engineer,218000,5,-1
188,Arizona,1,2,1,4,1,4,1,Technical Program Manager,100000,10,2
189,Arizona,1,2,1,4,1,4,1,Software Engineer,135000,4,1
190,Arizona,1,2,1,4,1,4,1,Technical Program Manager,200000,20,1
191,Arizona,1,2,1,4,1,4,1,Software Engineer,299000,26,-1
192,Arizona,1,2,1,4,1,4,1,Solution Architect,193000,25,-1
193,Arizona,1,2,1,4,1,4,1,Business Analyst,170000,11,1
194,Arizona,1,2,1,4,1,4,1,Software Engineer,166000,2,1
195,Arizona,1,2,1,4,1,4,1,Software Engineer,130000,10,4
196,Arizona,1,2,1,4,1,4,1,Recruiter,83000,4,2
197,Arizona,1,2,1,4,1,4,1,Hardware Engineer,162000,7,0
198,Arizona,1,2,1,4,1,4,1,Software Engineer,89000,2,1
199,Arizona,1,2,1,4,1,4,1,Sales,92000,4,2
200,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,302000,20,-1
201,Arizona,1,2,1,4,1,4,1,Product Manager,80000,1,4
202,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,93000,4,2
203,Arizona,1,2,1,4,1,4,1,Software Engineer,154000,2,1
204,Arizona,1,2,1,4,1,4,1,Product Manager,110000,10,-1
205,Arizona,1,2,1,4,1,4,1,Software Engineer,84000,3,1
206,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
207,Arizona,1,2,1,4,1,4,1,Software Engineer,135000,5,1
208,Arizona,1,2,1,4,1,4,1,Software Engineer,305000,16,4
209,Arizona,1,2,1,4,1,4,1,Software Engineer,112000,9,2
210,Arizona,1,2,1,4,1,4,1,Software Engineer,101000,4,2
211,Arizona,1,2,1,4,1,4,1,Software Engineer,101000,9,1
212,Arizona,1,2,1,4,1,4,1,Software Engineer,330000,7,-1
213,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,230000,20,-1
214,Arizona,1,2,1,4,1,4,1,Software Engineer,130000,3,-1
215,Arizona,1,2,1,4,1,4,1,Software Engineer,93000,0,2
216,Arizona,1,2,1,4,1,4,1,Hardware Engineer,160000,15,2
217,Arizona,1,2,1,4,1,4,1,Software Engineer,122000,2,2
218,Arizona,1,2,1,4,1,4,1,Software Engineer,120000,0,2
219,Arizona,1,2,1,4,1,4,1,Software Engineer,90000,4,-1
220,Arizona,1,2,1,4,1,4,1,Software Engineer,189000,15,3
221,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,202000,10,-1
222,Arizona,1,2,1,4,1,4,1,Software Engineer,139000,7,-1
223,Arizona,1,2,1,4,1,4,1,Software Engineer,170000,10,-1
224,Arizona,1,2,1,4,1,4,1,Software Engineer,93000,3,2
225,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,3,2
226,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,153000,4,0
227,Arizona,1,2,1,4,1,4,1,Software Engineer,117000,8,-1
228,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,2,-1
229,Arizona,1,2,1,4,1,4,1,Software Engineer,315000,6,2
230,Arizona,1,2,1,4,1,4,1,Data Scientist,95000,6,2
231,Arizona,1,2,1,4,1,4,1,Business Analyst,90000,3,-1
232,Arizona,1,2,1,4,1,4,1,Product Manager,362000,9,1
233,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,300000,15,-1
234,Arizona,1,2,1,4,1,4,1,Software Engineer,90000,5,1
235,Arizona,1,2,1,4,1,4,1,Data Scientist,111000,6,1
236,Arizona,1,2,1,4,1,4,1,Product Manager,132000,3,1
237,Arizona,1,2,1,4,1,4,1,Software Engineer,82000,3,2
238,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,3,2
239,Arizona,1,2,1,4,1,4,1,Software Engineer,64000,2,-1
240,Arizona,1,2,1,4,1,4,1,Software Engineer,62000,2,-1
241,Arizona,1,2,1,4,1,4,1,Software Engineer,65000,0,2
242,Arizona,1,2,1,4,1,4,1,Software Engineer,126000,7,-1
243,Arizona,1,2,1,4,1,4,1,Product Manager,200000,9,-1
244,Arizona,1,2,1,4,1,4,1,Software Engineer,81000,0,2
245,Arizona,1,2,1,4,1,4,1,Software Engineer,145000,15,-1
246,Arizona,1,2,1,4,1,4,1,Software Engineer,176000,8,-1
247,Arizona,1,2,1,4,1,4,1,Software Engineer,112000,4,1
248,Arizona,1,2,1,4,1,4,1,Product Manager,580000,20,1
249,Arizona,1,2,1,4,1,4,1,Software Engineer,190000,15,-1
250,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,83000,3,1
251,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
252,Arizona,1,2,1,4,1,4,1,Software Engineer,94000,4,2
253,Arizona,1,2,1,4,1,4,1,Solution Architect,200000,10,-1
254,Arizona,1,2,1,4,1,4,1,Software Engineer,102000,6,-1
255,Arizona,1,2,1,4,1,4,1,Product Manager,130000,3,1
256,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,230000,14,0
257,Arizona,1,2,1,4,1,4,1,Data Scientist,78000,3,1
258,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,3,2
259,Arizona,1,2,1,4,1,4,1,Software Engineer,314000,6,2
260,Arizona,1,2,1,4,1,4,1,Data Scientist,180000,5,1
261,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,20,3
262,Arizona,1,2,1,4,1,4,1,Hardware Engineer,107000,7,1
263,Arizona,1,2,1,4,1,4,1,Software Engineer,215000,5,1
264,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,4,2
265,Arizona,1,2,1,4,1,4,1,Software Engineer,148000,7,1
266,Arizona,1,2,1,4,1,4,1,Product Manager,124000,5,2
267,Arizona,1,2,1,4,1,4,1,Software Engineer,108000,22,1
268,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,80000,0,-1
269,Arizona,1,2,1,4,1,4,1,Software Engineer,146000,7,1
270,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,100000,15,-1
271,Arizona,1,2,1,4,1,4,1,Software Engineer,78000,3,-1
272,Arizona,1,2,1,4,1,4,1,Software Engineer,143000,8,1
273,Arizona,1,2,1,4,1,4,1,Software Engineer,143000,2,1
274,Arizona,1,2,1,4,1,4,1,Product Manager,467000,12,1
275,Arizona,1,2,1,4,1,4,1,Product Manager,68000,1,2
276,Arizona,1,2,1,4,1,4,1,Software Engineer,91000,2,2
277,Arizona,1,2,1,4,1,4,1,Software Engineer,178000,25,2
278,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,2,-1
279,Arizona,1,2,1,4,1,4,1,Hardware Engineer,132000,3,1
280,Arizona,1,2,1,4,1,4,1,Software Engineer,59000,2,2
281,Arizona,1,2,1,4,1,4,1,Software Engineer,125000,19,-1
282,Arizona,1,2,1,4,1,4,1,Software Engineer,152000,3,-1
283,Arizona,1,2,1,4,1,4,1,Business Analyst,125000,4,-1
284,Arizona,1,2,1,4,1,4,1,Software Engineer,81000,2,2
285,Arizona,1,2,1,4,1,4,1,Software Engineer,93000,5,2
286,Arizona,1,2,1,4,1,4,1,Hardware Engineer,88000,3,1
287,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,1,-1
288,Arizona,1,2,1,4,1,4,1,Software Engineer,174000,8,2
289,Arizona,1,2,1,4,1,4,1,Software Engineer,226000,5,1
290,Arizona,1,2,1,4,1,4,1,Software Engineer,66000,0,-1
291,Arizona,1,2,1,4,1,4,1,Software Engineer,204000,4,2
292,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,75000,0,-1
293,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,250000,14,-1
294,Arizona,1,2,1,4,1,4,1,Software Engineer,100000,2,1
295,Arizona,1,2,1,4,1,4,1,Data Scientist,125000,10,1
296,Arizona,1,2,1,4,1,4,1,Product Manager,75000,1,2
297,Arizona,1,2,1,4,1,4,1,Software Engineer,160000,6,1
298,Arizona,1,2,1,4,1,4,1,Hardware Engineer,97000,6,-1
299,Arizona,1,2,1,4,1,4,1,Software Engineer,118000,2,2
300,Arizona,1,2,1,4,1,4,1,Marketing,120000,4,-1
301,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,8,-1
302,Arizona,1,2,1,4,1,4,1,Recruiter,86000,2,1
303,Arizona,1,2,1,4,1,4,1,Software Engineer,182000,14,2
304,Arizona,1,2,1,4,1,4,1,Software Engineer,146000,3,1
305,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
306,Arizona,1,2,1,4,1,4,1,Solution Architect,286000,12,-1
307,Arizona,1,2,1,4,1,4,1,Software Engineer,76000,2,2
308,Arizona,1,2,1,4,1,4,1,Software Engineer,156000,5,1
309,Arizona,1,2,1,4,1,4,1,Software Engineer,150000,15,-1
310,Arizona,1,2,1,4,1,4,1,Business Analyst,95000,2,-1
311,Arizona,1,2,1,4,1,4,1,Hardware Engineer,235000,34,1
312,Arizona,1,2,1,4,1,4,1,Software Engineer,130000,3,2
313,Arizona,1,2,1,4,1,4,1,Product Manager,293000,10,-1
314,Arizona,1,2,1,4,1,4,1,Software Engineer,98000,2,1
315,Arizona,1,2,1,4,1,4,1,Product Manager,100000,2,1
316,Arizona,1,2,1,4,1,4,1,Software Engineer,127000,9,2
317,Arizona,1,2,1,4,1,4,1,Product Manager,220000,20,2
318,Arizona,1,2,1,4,1,4,1,Hardware Engineer,100000,1,1
319,Arizona,1,2,1,4,1,4,1,Software Engineer,144000,2,2
320,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,5,-1
321,Arizona,1,2,1,4,1,4,1,Business Analyst,65000,16,1
322,Arizona,1,2,1,4,1,4,1,Software Engineer,87000,2,2
323,Arizona,1,2,1,4,1,4,1,Software Engineer,137000,6,3
324,Arizona,1,2,1,4,1,4,1,Hardware Engineer,101000,2,-1
325,Arizona,1,2,1,4,1,4,1,Technical Program Manager,143000,25,1
326,Arizona,1,2,1,4,1,4,1,Software Engineer,80000,2,2
327,Arizona,1,2,1,4,1,4,1,Product Designer,342000,4,3
328,Arizona,1,2,1,4,1,4,1,Software Engineer,66000,0,2
329,Arizona,1,2,1,4,1,4,1,Software Engineer,66000,0,-1
330,Arizona,1,2,1,4,1,4,1,Product Manager,233000,8,1
331,Arizona,1,2,1,4,1,4,1,Software Engineer,153000,0,-1
332,Arizona,1,2,1,4,1,4,1,Mechanical Engineer,98000,5,2
333,Arizona,1,2,1,4,1,4,1,Product Manager,135000,8,1
334,Arizona,1,2,1,4,1,4,1,Hardware Engineer,141000,3,1
335,Arizona,1,2,1,4,1,4,1,Software Engineer,64000,0,2
336,Arizona,1,2,1,4,1,4,1,Software Engineer,160000,15,1
337,Arizona,1,2,1,4,1,4,1,Software Engineer,149000,11,1
338,Arizona,1,2,1,4,1,4,1,Software Engineer,118000,5,1
339,Arizona,1,2,1,4,1,4,1,Software Engineer,165000,11,1
340,Arizona,1,2,1,4,1,4,1,Software Engineer,222000,3,-1
341,Arizona,1,2,1,4,1,4,1,Software Engineer,107000,10,2
342,Arizona,1,2,1,4,1,4,1,Hardware Engineer,160000,6,-1
343,Arizona,1,2,1,4,1,4,1,Software Engineer,210000,10,-1
344,Arizona,1,2,1,4,1,4,1,Technical Program Manager,150000,8,0
345,Arizona,1,2,1,4,1,4,1,Software Engineer,122000,2,-1
346,Arizona,1,2,1,4,1,4,1,Software Engineer,380000,7,4
347,Arizona,1,2,1,4,1,4,1,Software Engineer,211000,5,1
348,Arizona,1,2,1,4,1,4,1,Software Engineer,65000,1,-1
349,Arizona,1,2,1,4,1,4,1,Software Engineer,81000,0,2
350,Arizona,1,2,1,4,1,4,1,Software Engineer,96000,1,2
351,Arizona,1,2,1,4,1,4,1,Software Engineer,144000,2,2
352,Arizona,1,2,1,4,1,4,1,Software Engineer,115000,3,1
353,Arizona,1,2,1,4,1,4,1,Software Engineer,163000,8,-1
354,Arizona,1,2,1,4,1,4,1,Marketing,200000,7,1
355,Arizona,1,2,1,4,1,4,1,Technical Program Manager,282000,20,2
356,Arizona,1,2,1,4,1,4,1,Software Engineer,152000,5,-1
357,Arizona,1,2,1,4,1,4,1,Software Engineer,161000,11,1
358,Arizona,1,2,1,4,1,4,1,Product Manager,213000,20,-1
359,Arizona,1,2,1,4,1,4,1,Software Engineer,84000,1,2
360,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,2
361,Arizona,1,2,1,4,1,4,1,Software Engineer,105000,2,2
362,Arizona,1,2,1,4,1,4,1,Software Engineer,72000,0,-1
363,Arizona,1,2,1,4,1,4,1,Software Engineer,85000,2,-1
364,Arizona,1,2,1,4,1,4,1,Product Manager,195000,16,-1
365,Arizona,1,2,1,4,1,4,1,Product Manager,106000,5,1
366,Arizona,1,2,1,4,1,4,1,Software Engineer,98000,5,2
367,Arizona,1,2,1,4,1,4,1,Software Engineer,190000,8,2
368,Arizona,1,2,1,4,1,4,1,Software Engineer,103000,10,1
369,Arizona,1,2,1,4,1,4,1,Product Manager,75000,0,2
370,Arizona,1,2,1,4,1,4,1,Software Engineer,108000,8,-1
371,Arizona,1,2,1,4,1,4,1,Software Engineer,140000,0,1
372,Arizona,1,2,1,4,1,4,1,Software Engineer,195000,15,-1
373,Arizona,1,2,1,4,1,4,1,Software Engineer,110000,6,1
374,Arizona,1,2,1,4,1,4,1,Software Engineer,110000,2,2
375,Arizona,1,2,1,4,1,4,1,Hardware Engineer,158000,20,1
376,Arizona,1,2,1,4,1,4,1,Hardware Engineer,83000,3,1
377,Arizona,1,2,1,4,1,4,1,Technical Program Manager,235000,17,1
378,Arizona,1,2,1,4,1,4,1,Solution Architect,200000,20,2
379,Arizona,1,2,1,4,1,4,1,Human Resources,400000,25,1
380,Arizona,1,2,1,4,1,4,1,Business Analyst,133000,7,-1
381,Arizona,1,2,1,4,1,4,1,Product Manager,318000,25,1
382,Arizona,1,2,1,4,1,4,1,Software Engineer,100000,7,1
383,Arizona,1,2,1,4,1,4,1,Software Engineer,135000,10,-1
384,Arizona,1,2,1,4,1,4,1,Hardware Engineer,150000,7,1
385,Arizona,1,2,1,4,1,4,1,Software Engineering Manager,209000,20,2
386,Arizona,1,2,1,4,1,4,1,Software Engineer,112000,8,2
387,Arizona,1,2,1,4,1,4,1,Hardware Engineer,124000,13,1
388,Arizona,1,2,1,4,1,4,1,Hardware Engineer,141000,5,0
